date,value
10.12.2020,"73,3057"
11.12.2020,"73,7124"
12.12.2020,"73,1195"
15.12.2020,"72,9272"
16.12.2020,"73,4453"
17.12.2020,"73,4201"
18.12.2020,"72,9781"
19.12.2020,"73,3155"
22.12.2020,"74,6721"
23.12.2020,"75,3498"
24.12.2020,"75,4571"
25.12.2020,"74,8392"
26.12.2020,"73,6921"
29.12.2020,"73,7175"
30.12.2020,"73,6567"
31.12.2020,"73,8757"
01.01.2021,"73,8757"
